"Hora local en Pudahuel (aeropuerto)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss";
"01.01.2018 23:00";"17.8";"722.0";"763.0";"";"55";"";"";"";"";"";" ";"";"";"";"";"";"";"";"";"";"10.0";"8.5";"";"";"";"";"";"";
"01.01.2018 20:00";"22.7";"721.6";"762.0";"1.2";"39";"Viento procedente del sur";"7";"";"";"60%.";"Estado del cielo sin cambios en su conjunto. ";"Nubes que cubren más de la mitad del cielo durante una parte del período considerado y la mitad o menos durante el resto del período.";"Nubes que cubren más de la mitad del cielo durante una parte del período considerado y la mitad o menos durante el resto del período.";"";"28.7";"No hay estratocúmulos, estratos, cúmulos ni cumulonimbus.";"50%.";"2000-2500";"Altocúmulos translucidus a un solo nivel.";"Cirrus fibratus, a veces uncinus, que no invaden progresivamente el cielo.";"10.0";"8.1";"Sin precipitación";"6";"";"";"";"";
"01.01.2018 17:00";"25.4";"720.4";"760.5";"";"38";"";"";"";"";"";" ";"";"";"";"";"No hay estratocúmulos, estratos, cúmulos ni cumulonimbus.";"50%.";"";"Altocúmulos translucidus a un solo nivel.";"No hay cirrus, cirrocúmulos, ni Cirroestratos.";"10.0";"10.2";"";"";"";"";"";"";
"01.01.2018 14:00";"28.3";"720.6";"760.3";"-0.7";"34";"Viento procedente del sursuroeste";"7";"";"";"sin nubes.";"Estado del cielo sin cambios en su conjunto. ";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"";"";"";"";"";"";"";"10.0";"10.9";"Rastros";"6";"";"";"";"";
"01.01.2018 11:00";"23.5";"721.3";"761.6";"";"46";"";"";"";"";"";" ";"";"";"";"";"";"";"2500 o más, o sin nuves.";"";"";"10.0";"11.2";"";"";"";"";"";"";
"01.01.2018 08:00";"17.9";"721.6";"762.8";"0.9";"57";"";"";"";"";"sin nubes.";"Ningún desarrollo nuboso observado u observable. ";"Nubes que cubren más de la mitad del cielo durante una parte del período considerado y la mitad o menos durante el resto del período.";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"13.2";"";"";"";"";"";"";"10.0";"9.1";"Sin precipitación";"6";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"01.01.2018 05:00";"13.3";"720.7";"762.4";"";"77";"";"";"";"";"";" ";"";"";"";"";"No hay estratocúmulos, estratos, cúmulos ni cumulonimbus.";"20–30%.";"";"Altocúmulos translucidus a un solo nivel.";"No hay cirrus, cirrocúmulos, ni Cirroestratos.";"10.0";"9.3";"";"";"";"";"";"";
"01.01.2018 02:00";"15.1";"720.6";"762.1";"-0.9";"66";"Viento procedente del sursureste";"2";"";"";"50%.";"Nubes en general disipándose o haciéndose menos desarrolladas. ";"Nubes que cubren más de la mitad del cielo durante el período considerado.";"Nubes que cubren más de la mitad del cielo durante el período considerado.";"";"";"No hay estratocúmulos, estratos, cúmulos ni cumulonimbus.";"50%.";"2500 o más, o sin nuves.";"Altocúmulos translucidus a un solo nivel.";"No hay cirrus, cirrocúmulos, ni Cirroestratos.";"10.0";"8.8";"Sin precipitación";"6";"";"";"";"";
"31.12.2017 23:00";"17.9";"721.5";"762.7";"";"58";"";"";"";"";"";" ";"";"";"";"";"Estratocúmulos que no sean estratocúmulos cumulogenitus.";"40%.";"1500-2000";"Altocúmulos translucidus a un solo nivel.";"No hay cirrus, cirrocúmulos, ni Cirroestratos.";"10.0";"9.5";"";"";"";"";"";"";
"31.12.2017 20:00";"20.9";"720.4";"761.0";"0.9";"59";"Viento procedente del sursureste";"6";"";"";"90  o más, pero no 100%";"Estado del cielo sin cambios en su conjunto. ";"Nubes que cubren más de la mitad del cielo durante el período considerado.";"Nubes que cubren más de la mitad del cielo durante el período considerado.";"";"27.6";"Estratocúmulos que no sean estratocúmulos cumulogenitus.";"60%.";"1500-2000";"Altocúmulos translucidus a un solo nivel.";"No hay cirrus, cirrocúmulos, ni Cirroestratos.";"10.0";"12.6";"Sin precipitación";"6";"";"";"";"";
"31.12.2017 17:00";"23.5";"719.5";"759.7";"";"50";"";"";"";"";"";" ";"";"";"";"";"Cúmulos mediocris o congestus, con cúmulos de las especies fractus o humilis o estratocúmulos o sin ellos, todos con sus bases a un mismo nivel.";"20–30%.";"1500-2000";"Altocúmulos translucidus a un solo nivel.";"No hay cirrus, cirrocúmulos, ni Cirroestratos.";"10.0";"12.5";"";"";"";"";"";"";
"31.12.2017 14:00";"26.0";"719.5";"759.4";"-0.3";"44";"Viento procedente del sur-oeste";"6";"";"";"90  o más, pero no 100%";"Estado del cielo sin cambios en su conjunto. ";"Nubes que cubren más de la mitad del cielo durante una parte del período considerado y la mitad o menos durante el resto del período.";"Nubes que cubren más de la mitad del cielo durante una parte del período considerado y la mitad o menos durante el resto del período.";"";"";"Cúmulos humilis o cúmulos fractus que no sean los de mal tiempo, o ambos.";"20–30%.";"1500-2000";"Altocúmulos translucidus a un solo nivel.";"No hay cirrus, cirrocúmulos, ni Cirroestratos.";"10.0";"12.9";"Sin precipitación";"6";"";"";"";"";
"31.12.2017 11:00";"23.5";"719.8";"760.1";"";"49";"";"";"";"";"";" ";"";"";"";"";"No hay estratocúmulos, estratos, cúmulos ni cumulonimbus.";"70 – 80%.";"";"Altocúmulos translucidus a un solo nivel.";"No hay cirrus, cirrocúmulos, ni Cirroestratos.";"10.0";"12.2";"";"";"";"";"";"";
"31.12.2017 08:00";"19.5";"719.5";"760.3";"1.3";"62";"Viento procedente del sudeste";"2";"";"";"70 – 80%.";"Nubes en general en formación o desarrollándose. ";"Nubes que cubren más de la mitad del cielo durante una parte del período considerado y la mitad o menos durante el resto del período.";"Nubes que cubren la mitad o menos del cielo durante el período considerado.";"15.6";"";"No hay estratocúmulos, estratos, cúmulos ni cumulonimbus.";"70 – 80%.";"2500 o más, o sin nuves.";"Altocúmulos translucidus a un solo nivel.";"No hay cirrus, cirrocúmulos, ni Cirroestratos.";"10.0";"11.9";"Sin precipitación";"6";"Seco (sin ranuras, polvo visible o arena movidiza)";"";"";"";
"31.12.2017 05:00";"16.4";"718.2";"759.4";"";"72";"";"";"";"";"";" ";"";"";"";"";"No hay estratocúmulos, estratos, cúmulos ni cumulonimbus.";"50%.";"";"Altocúmulos translucidus a un solo nivel.";"No hay cirrus, cirrocúmulos, ni Cirroestratos.";"10.0";"11.2";"";"";"";"";"";"";
