"Hora local en Santiago (aeropuerto)";"T";"P0";"P";"U";"DD";"Ff";"ff10";"WW";"W'W'";"c";"VV";"Td";
"01.01.2018 23:00";"23.0";"746.2";"762.0";"94";"Viento procedente del este";"3";"";"";"";"Nubosidad escasa (10-30%) 510 m, nubes cumulonimbus , nubosidad fragmentada (60-90%) 510 m";"10.0 y más";"22.0";
"01.01.2018 22:00";"24.0";"746.2";"762.0";"89";"Viento procedente del sursureste";"2";"";"";"";"Nubosidad escasa (10-30%) 540 m, nubosidad dispersa (40-50%) 9000 m";"10.0 y más";"22.0";
"01.01.2018 21:00";"25.0";"746.3";"762.0";"83";"Viento procedente del estesureste";"4";"";"";"";"Nubosidad escasa (10-30%) 570 m, nubosidad dispersa (40-50%) 9000 m";"10.0 y más";"22.0";
"01.01.2018 20:00";"25.0";"745.5";"761.2";"79";"Viento procedente del sursureste";"3";"";"";"";"Nubosidad escasa (10-30%) 600 m, nubosidad fragmentada (60-90%) 9000 m";"10.0 y más";"21.0";
"01.01.2018 19:00";"26.0";"744.9";"760.5";"74";"Viento procedente del estesureste";"4";"";"";"";"Nubosidad escasa (10-30%) 630 m, nubosidad fragmentada (60-90%) 9000 m";"10.0 y más";"21.0";
"01.01.2018 18:00";"28.0";"745.0";"760.5";"62";"Viento procedente del estesureste";"4";"";"";"";"Nubosidad escasa (10-30%) 690 m, nubosidad dispersa (40-50%) 9000 m";"10.0 y más";"20.0";
"01.01.2018 17:00";"30.0";"745.1";"760.5";"55";"Viento procedente del sudeste";"5";"";"";"";"Nubosidad dispersa (40-50%) 720 m, nubosidad fragmentada (60-90%) 9000 m";"10.0 y más";"20.0";
"01.01.2018 16:00";"30.0";"745.1";"760.5";"52";"Viento procedente del estesureste";"6";"";"";"";"Nubosidad dispersa (40-50%) 720 m, nubosidad fragmentada (60-90%) 9000 m";"10.0 y más";"19.0";
"01.01.2018 15:00";"30.0";"745.1";"760.5";"52";"Viento procedente del sudeste";"5";"";"";"";"Nubosidad escasa (10-30%) 720 m, nubosidad dispersa (40-50%) 9000 m";"10.0 y más";"19.0";
"01.01.2018 14:00";"29.0";"745.7";"761.2";"58";"Viento procedente del estesureste";"5";"";"";"";"Nubosidad dispersa (40-50%) 690 m, nubosidad dispersa (40-50%) 9000 m";"10.0 y más";"20.0";
"01.01.2018 13:00";"29.0";"746.5";"762.0";"62";"Viento procedente del sudeste";"5";"";"";"";"Nubosidad dispersa (40-50%) 660 m, nubosidad dispersa (40-50%) 9000 m";"10.0 y más";"21.0";
"01.01.2018 12:00";"28.0";"747.2";"762.8";"66";"Viento procedente del sudeste";"2";"";"";"";"Nubosidad dispersa (40-50%) 630 m, nubosidad fragmentada (60-90%) 9000 m";"10.0 y más";"21.0";
"01.01.2018 11:00";"26.0";"747.8";"763.5";"74";"vientos de dirección variable";"2";"";"";"";"Nubosidad escasa (10-30%) 570 m, nubosidad fragmentada (60-90%) 9000 m";"10.0 y más";"21.0";
